cell_type_imm_custom	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Plasma K 2	CIRBP	3.117090079131647e-8	-0.10601306315082815	0.185	0.309	6.812088658934302e-4
Plasma K 2	EVA1B	3.2909513187114483e-8	-0.08850929884986952	0.063	0.155	7.192045011912e-4
Plasma K 2	MGST3	3.834732239676836e-8	-0.11171871440031866	0.202	0.329	8.380423836589758e-4
Plasma K 2	TWISTNB	3.880129520915893e-8	-0.29309642968956684	0.104	0.203	8.479635055009592e-4
Plasma K 2	PIK3CD-AS2	3.919784450162959e-8	-0.09151600708279937	0.072	0.167	8.56629693738613e-4
Plasma K 2	BBX	3.924106741772271e-8	-0.1150714086741578	0.155	0.271	8.57574287346912e-4
Plasma K 2	CEMIP2	4.248597602062179e-8	0.08978566181040985	0.139	0.063	9.284885199546686e-4
Plasma K 2	ZCCHC7	4.319588348174659e-8	-0.09589086652722212	0.118	0.227	9.4400283761009e-4
Plasma K 2	IL6ST	4.5687766176437946e-8	-0.15093942755359996	0.25	0.376	9.98460442019875e-4
Plasma K 2	MSL3	4.684689093019755e-8	0.08032265436377796	0.137	0.062	0.0010237919543885372
Plasma K 2	WNT5B	4.9019432859234876e-8	-0.08282030011524535	0.044	0.126	0.001071270685705719
Plasma K 2	DUSP2	5.1322002332113044e-8	-0.34397492762024917	0.363	0.471	0.0011215910389659985
Plasma K 2	DERL3	5.4713017460288745e-8	-0.16763976996823016	0.674	0.802	0.0011956982835771503
Plasma K 2	ITGB1	5.745077914481995e-8	0.08785166919582407	0.123	0.054	0.0012555293274308951
Plasma K 2	ATP6V1G1	6.066706056500215e-8	-0.12932551288726418	0.4	0.527	0.0013258179415875568
Plasma K 2	PECAM1	6.519975404554931e-8	0.14212382380269767	0.261	0.164	0.0014248754249114347
Plasma K 2	DNAJC15	6.821437366130465e-8	-0.11728459147776382	0.294	0.425	0.0014907569219941518
Plasma K 2	IRF7	7.08859457960988e-8	-0.1334661273261606	0.194	0.308	0.0015491414594279431
Plasma K 2	CEP128	7.175696114108153e-8	0.15017943355079322	0.211	0.121	0.0015681766287771958
Plasma K 2	ODC1	7.238198252509898e-8	-0.13854024559488198	0.382	0.515	0.0015818358461035132
Plasma K 2	NR4A1	7.700476597746574e-8	-0.26837115458174354	0.585	0.681	0.0016828621556715362
Plasma K 2	BTLA	7.905155771541241e-8	-0.07302755384207316	0.028	0.101	0.0017275927423126228
Plasma K 2	TRMT112	7.982727546646097e-8	-0.13131492204461476	0.382	0.515	0.0017445452780440382
Plasma K 2	TMEM140	8.134977197285785e-8	-0.08520070797832624	0.039	0.116	0.0017778179166948356
Plasma K 2	CD53	8.600366279517167e-8	-0.11316345339469275	0.252	0.379	0.0018795240467256817
Plasma K 2	DDIT4	8.798861529702337e-8	-0.21536455329263493	0.393	0.521	0.0019229031987011487
Plasma K 2	CYTIP	9.375682101689143e-8	-0.16048379359439524	0.548	0.663	0.0020489615665031454
Plasma K 2	UBALD2	1.1190471137006403e-7	-0.1410596383023709	0.465	0.597	0.0024455655622813792
Plasma K 2	TCEAL4	1.1593482973418279e-7	-0.07553123417912491	0.039	0.116	0.0025336397690108306
Plasma K 2	SNRPN	1.3507746348749006e-7	-0.10884874632041944	0.15	0.256	0.002951982887055608
Plasma K 2	CTSW	1.3740389517737303e-7	-0.1385020059507281	0.053	0.134	0.0030028247252063102
Plasma K 2	B2M	1.547920518200611e-7	-0.13040069249927044	0.6	0.755	0.003382825500475615
Plasma K 2	FAM30A	1.5881689132286994e-7	-0.2555022517818489	0.169	0.273	0.00347078434297
Plasma K 2	GNAI2	1.599512767380375e-7	-0.09231915546747022	0.252	0.385	0.003495575201833072
Plasma K 2	SLC38A2	1.6645107315124312e-7	0.212949253708824	0.648	0.556	0.003637621752647267
Plasma K 2	SAMD9L	1.776520513805454e-7	-0.11765045388538516	0.106	0.201	0.003882407930870439
Plasma K 2	RASGEF1B	1.844157874122771e-7	-0.10374810200006676	0.121	0.225	0.004030222618107904
Plasma K 2	BCL2	1.9737751085748828e-7	-0.1031314365985776	0.164	0.277	0.004313488122279549
Plasma K 2	POLR1E	2.0910051900865053e-7	-0.09671378542213396	0.06	0.143	0.004569682742415049
Plasma K 2	SELENOK	2.1963912177564026e-7	-0.15750269693711316	0.701	0.812	0.004799993367284842
Plasma K 2	CCNH	2.694820058139301e-7	-0.09519586404119981	0.085	0.175	0.0058892597550576275
Plasma K 2	FGL2	2.9100216445484675e-7	-0.1535694789182609	0.079	0.167	0.006359561301996221
Plasma K 2	UBE2S	2.913867967870635e-7	-0.193196289594813	0.315	0.42	0.006367967056984485
Plasma K 2	ILF3-DT	3.0512686593971645e-7	-0.07996625420524964	0.136	0.245	0.006668242528246563
Plasma K 2	LSM5	3.202560339114076e-7	-0.08488986943483634	0.259	0.389	0.006998875365099902
Plasma K 2	IGF1	3.212634463256789e-7	-0.1027832058640637	0.116	0.214	0.007020891356001387
Plasma K 2	MTRNR2L12	3.2763127421016787e-7	0.10415364833246359	0.16	0.084	0.0071600538665890084
Plasma K 2	GRN	3.363168912424811e-7	0.11759355702521657	0.246	0.155	0.007349869341213182
Plasma K 2	CLDN4	3.394347521726167e-7	0.15434634931642902	0.114	0.051	0.007418007073980365
Plasma K 2	PHF1	3.4110693106003584e-7	-0.09074384204821656	0.143	0.248	0.007454550871386023
Plasma K 2	IKBIP	3.664342127259429e-7	-0.09630643540543196	0.123	0.223	0.008008053284912756
Plasma K 2	MGAT4A	3.740967873749621e-7	0.06489048240847069	0.102	0.043	0.008175511191292421
Plasma K 2	MEI1	3.749305756102345e-7	-0.12116362564200908	0.229	0.343	0.008193732799386065
Plasma K 2	OAS2	4.0822213355469884e-7	-0.07258164024498309	0.044	0.118	0.008921286506704389
Plasma K 2	LINC02384	4.318396056862049e-7	-0.07699109620839883	0.042	0.116	0.009437422742666322
Plasma K 2	FOS	4.5980279646489245e-7	-0.33395982536598146	0.868	0.882	0.01004853031394376
Plasma K 2	GOLGA8A	4.683749974056628e-7	0.11036607556564894	0.187	0.106	0.010235867193303355
Plasma K 2	FAM3C	4.825732036560654e-7	-0.08691515340616071	0.132	0.235	0.010546154792699653
Plasma K 2	BLK	4.864966701987775e-7	-0.06622480651932064	0.033	0.103	0.010631898230524083
Plasma K 2	ATP5MC2	5.29935813413731e-7	-0.11592040125401881	0.38	0.507	0.011581217266343678
Plasma K 2	CRTAP	5.590092926181519e-7	-0.07732761021035389	0.081	0.169	0.012216589080877093
Plasma K 2	CORO1A	5.772782312574644e-7	0.10307947482923684	0.197	0.113	0.012615838465900628
Plasma K 2	CKAP4	5.974674567049661e-7	-0.10258888620600304	0.194	0.304	0.01305705379883033
Plasma K 2	PRR7	6.253546904199543e-7	-0.10837454622076792	0.104	0.196	0.013666501404437682
Plasma K 2	RPL23	6.433746358362691e-7	-0.10465319333414969	0.808	0.882	0.014060309291565825
Plasma K 2	SAMSN1	6.689905998089951e-7	0.10845306652473355	0.248	0.155	0.01462012056822578
Plasma K 2	PSD4	6.865118380832619e-7	0.06150867330108976	0.109	0.048	0.015003029709471606
Plasma K 2	POMC	6.965262537007604e-7	-0.0775857080308602	0.048	0.121	0.015221884748376418
Plasma K 2	ISCU	7.307010458623932e-7	-0.13179052070216146	0.421	0.534	0.01596874065627674
Plasma K 2	SH3BP5	7.517477279233855e-7	-0.08263100860575653	0.111	0.206	0.016428694846037668
Plasma K 2	PHLDA1	8.06961419201746e-7	0.07358486267516968	0.143	0.072	0.017635334855234955
Plasma K 2	PREX1	8.311225651349232e-7	0.06286002485808881	0.107	0.047	0.01816335253845861
Plasma K 2	AC058791.1	1.0677195753190618e-6	0.15680844757621348	0.521	0.422	0.023333943599022775
Plasma K 2	SLC7A7	1.0853341799450933e-6	-0.07193438729702883	0.056	0.133	0.02371889316852007
Plasma K 2	IFI27	1.1116237210614667e-6	0.13745989478804152	0.118	0.056	0.024293424800077294
Plasma K 2	FBP1	1.1202818983113484e-6	-0.07642329212890546	0.063	0.142	0.02448264060569621
Plasma K 2	LTA4H	1.1466734583498e-6	-0.0763962754461023	0.07	0.152	0.02505940175877653
Plasma K 2	BNIP3	1.1509468065211108e-6	-0.0766746971599522	0.06	0.137	0.025152791509712356
Plasma K 2	RASSF6	1.2038238162129886e-6	0.12439317892310656	0.225	0.14	0.026308365679518653
Plasma K 2	HLA-DRA	1.220018208817108e-6	0.16265234399178988	0.125	0.06	0.02666227793548908
Plasma K 2	ELF3	1.2809635656675127e-6	0.1582580131244271	0.106	0.047	0.027994177764097825
Plasma K 2	KLHL6	1.3285607089050499e-6	-0.10154922454012288	0.275	0.391	0.02903436573241096
Plasma K 2	RPL36A	1.3455789064576617e-6	-0.12577621274362671	0.347	0.471	0.029406281421725737
Plasma K 2	AIM2	1.3657329113545184e-6	-0.08685777081139648	0.056	0.131	0.029846727044741644
Plasma K 2	CLECL1	1.5057836597468789e-6	-0.07193438729702883	0.048	0.119	0.03290739610010829
Plasma K 2	HCLS1	1.5863947128760174e-6	-0.0897733735517697	0.215	0.327	0.034669070055192486
Plasma K 2	ARSG	1.7474427355172338e-6	-0.07296411776341657	0.06	0.135	0.03818861354199363
Plasma K 2	TNFAIP3	1.8601294738775357e-6	0.14564123861457612	0.512	0.395	0.040651269522119664
Plasma K 2	MIR155HG	1.9432614425395356e-6	-0.2557623449187931	0.141	0.23	0.042468035565259014
Plasma K 2	CHST15	1.9434643331077526e-6	-0.08042060139131899	0.093	0.179	0.04247246953573682
Plasma K 2	SYNE2	1.977811900384824e-6	0.1713229784949602	0.382	0.288	0.043223101271009944
Plasma K 2	RORA	2.036397601847675e-6	0.12291730737618389	0.231	0.147	0.044503433190779096
Plasma K 2	TMC6	2.194631881148204e-6	-0.08689706122650467	0.13	0.224	0.04796148513061285
Plasma K 2	PRKACB	2.459456834152171e-6	0.06021629188017753	0.137	0.07	0.053748969653561546
Plasma K 2	METTL9	2.6182716170158025e-6	-0.09346775451576586	0.171	0.272	0.05721970791826335
Plasma K 2	AAK1	2.7585438049175285e-6	0.06375487001629743	0.107	0.05	0.06028521631266767
Plasma K 2	TRIM69	3.0543357634073495e-6	-0.0664452021952716	0.04	0.106	0.06674945377350422
Plasma K 2	ASB2	3.058580619411167e-6	-0.06590917836902438	0.055	0.126	0.06684222085661165
Plasma K 2	FURIN	3.156728555631419e-6	0.0744060468688571	0.114	0.055	0.06898714585476903
Plasma K 2	ATF3	3.184335205603002e-6	-0.20446843427229777	0.197	0.294	0.06959046158324801
Plasma K 2	S100A10	3.681180667569597e-6	0.1807175584780517	0.342	0.252	0.08044852230906598
Plasma K 2	DYNLL1	3.7684162602940597e-6	-0.1268340258491336	0.593	0.69	0.08235496895246638
Plasma K 2	TNFRSF4	3.9021927812705445e-6	-0.03053611679270446	0.146	0.248	0.08527852104188648
Plasma K 2	RPS6KA3	4.025605921990531e-6	0.07028581947997885	0.132	0.068	0.08797559181918106
Plasma K 2	SPAG4	4.173217745587754e-6	-0.11457178338272517	0.34	0.454	0.09120150061207477
Plasma K 2	LINC02362	4.370779710396942e-6	-0.0936146437397205	0.176	0.274	0.09551901979101476
Plasma K 2	ERN1	4.70198211497917e-6	-0.10326200438209515	0.254	0.359	0.10275711714075479
Plasma K 2	PARP14	4.822843042842394e-6	-0.18745351381320297	0.338	0.422	0.10539841185827767
Plasma K 2	ORAI2	4.938967175626553e-6	-0.10856156192213118	0.238	0.342	0.1079361886561427
Plasma K 2	PRDX6	4.972378303349492e-6	-0.09191721069901335	0.215	0.319	0.10866635544139981
Plasma K 2	PTMA	5.2198652636085945e-6	-0.09284860671799477	0.887	0.955	0.11407493547090222
Plasma K 2	HMGN1	5.247452454774654e-6	-0.08178837881839646	0.305	0.42	0.11467782594664529
Plasma K 2	SFMBT2	5.386153775379276e-6	-0.08064528606774826	0.113	0.198	0.11770900460713869
Plasma K 2	ARL4C	5.479302819943495e-6	0.09174275690252978	0.183	0.107	0.11974468382704515
Plasma K 2	MCUB	5.6138592767579384e-6	-0.0607956238935597	0.044	0.108	0.12268528063426799
Plasma K 2	METTL7A	5.697272995077723e-6	-0.081636788530625	0.167	0.266	0.12450820403442855
Plasma K 2	PIK3R1	5.782694523962676e-6	0.08217385183138617	0.174	0.101	0.12637500612668032
Plasma K 2	HLA-DPA1	5.855536189106076e-6	-0.05001913485850845	0.169	0.267	0.12796688787672417
Plasma K 2	UBXN1	5.936476265603099e-6	-0.08497624108625018	0.157	0.251	0.12973575230849013
Plasma K 2	PPM1K	6.124333202435588e-6	-0.12633142676816433	0.261	0.364	0.13384117780602733
Plasma K 2	TGFBR2	6.370154059680924e-6	-0.08408199404474138	0.1	0.182	0.1392133468202669
Plasma K 2	ANP32B	6.6456901303336405e-6	-0.09520861994771612	0.326	0.44	0.14523491210831138
Plasma K 2	PEPD	7.296127219646471e-6	-0.06391660531517888	0.069	0.142	0.159449564258154
Plasma K 2	HMCES	7.4913107698643515e-06	-0.09417189778946167	0.213	0.313	0.16371510556461555
Plasma K 2	TRAM2	7.496104149299951e-6	-0.09622817405945336	0.181	0.278	0.16381986007880114
Plasma K 2	PTMS	7.570212552217875e-6	0.07556635980301218	0.127	0.066	0.16543942511616944
Plasma K 2	SLK	7.646812511941327e-6	0.07846499356658453	0.139	0.075	0.16711344063596575
Plasma K 2	RPL39	8.099981928880967e-6	-0.07695807920647402	0.452	0.589	0.17701700507376464
Plasma K 2	AC009404.1	8.807862255761953e-6	-0.17164527549922126	0.132	0.213	0.19248702173742172
Plasma K 2	CORO1B	1.0759195980063395e-5	0.10401714392822331	0.225	0.145	0.23513146894830544
Plasma K 2	EGR1	1.0828830119898982e-5	-0.2781549144612021	0.461	0.537	0.23665325344027235
Plasma K 2	TMEM156	1.0880255259643659e-5	-0.10261631009589567	0.15	0.24	0.23777709844425252
Plasma K 2	BCAS4	1.1502039052633802e-5	-0.058890256534012995	0.046	0.108	0.2513655614562591
Plasma K 2	LINC01480	1.1544293947904005e-5	-0.11336120039782202	0.097	0.176	0.25228899993749415
Plasma K 2	PTPN6	1.202666804511307e-5	-0.07031784866274118	0.116	0.201	0.26283080345790105
Plasma K 2	APOL6	1.2341294102709342e-5	0.10085351003922025	0.289	0.202	0.26970664132060995
Plasma K 2	DDX5	1.3162834369376535e-5	-0.09409986336902043	0.905	0.922	0.2876605823083548
Plasma K 2	RPL28	1.3299251087230893e-5	-0.12739618985136358	0.988	0.986	0.29064183326034393
Plasma K 2	USP30-AS1	1.3735088162978552e-5	-0.0658334179235168	0.046	0.107	0.3001666167137333
Plasma K 2	FKBP11	1.3848495965154302e-5	-0.10888283869615001	0.794	0.897	0.3026450308224821
Plasma K 2	GTF3A	1.4096722868298358e-5	-0.08353836993318442	0.368	0.484	0.30806978156379233
Plasma K 2	ARHGAP18	1.4216744639665112e-5	-0.07460078883873959	0.111	0.192	0.31069273735524133
Plasma K 2	DOCK2	1.568078577586367e-5	-0.08304885999323688	0.178	0.27	0.34268789234572467
Plasma K 2	BEX2	1.5763201683281852e-5	-0.07270667512530314	0.088	0.162	0.3444890095864416
Plasma K 2	CERK	1.607721948685354e-5	0.06774977341122937	0.169	0.1	0.35135155466569723
Plasma K 2	ANKRD28	1.7060237688126318e-5	-0.11737348572579231	0.489	0.582	0.37283443443631253
Plasma K 2	SNX3	1.7554112568457473e-5	-0.08337089410523948	0.224	0.322	0.3836275760710696
Plasma K 2	TUBA1A	1.7769477262551374e-5	0.0639401559585895	0.127	0.067	0.38833415609579774
Plasma K 2	FAM49A	1.8246931937409087e-5	-0.10276970024403725	0.148	0.231	0.3987684505601382
Plasma K 2	MYH9	1.8564936654053086e-5	0.10806912906691862	0.176	0.107	0.4057181256376761
Plasma K 2	TNIP1	1.8952156841908704e-5	-0.07849219913030488	0.081	0.154	0.41418043562307283
Plasma K 2	EHD1	1.933420742648944e-5	-0.08689706122650467	0.123	0.205	0.4225297690985002
Plasma K 2	TXNDC11	2.0932036838088443e-5	-0.07513940761885352	0.379	0.5	0.45744873305958483
Plasma K 2	FOXP1	2.126730475623259e-5	0.08386094023897131	0.211	0.135	0.46477567814270704
Plasma K 2	CCPG1	2.1966214534603494e-5	-0.08532698470909242	0.121	0.201	0.48004965243922476
Plasma K 2	CAMLG	2.2132027121279737e-5	-0.07925584542136418	0.178	0.269	0.4836733207084474
Plasma K 2	ERO1B	2.2463345230318465e-5	-0.10856020458473853	0.232	0.325	0.49091394666337973
Plasma K 2	PCM1	2.2657032319066216e-5	-0.08646750426494298	0.181	0.274	0.4951467843008731
Plasma K 2	SPTAN1	2.370931664901167e-5	0.08092458549537705	0.144	0.082	0.5181434060475011
Plasma K 2	ADRB2	2.5040258712547493e-5	-0.07519780177945416	0.055	0.118	0.5472298139040129
Plasma K 2	RBBP8	2.607954596038979e-5	-0.1117187144003187	0.07	0.136	0.5699423974183585
Plasma K 2	HIST1H1C	2.7493144734760512e-5	0.14295454228229754	0.38	0.289	0.6008351850334562
Plasma K 2	SP140	2.866003452275673e-5	-0.08010615109123656	0.106	0.181	0.6263363944603256
Plasma K 2	EMB	2.8960089782187934e-5	-0.08710930785788623	0.165	0.252	0.6328938020999351
Plasma K 2	YPEL3	2.988477587463712e-5	-0.10202763847523688	0.29	0.386	0.6531018919643197
Plasma K 2	DIAPH1	3.005616133718945e-5	0.0757856653396689	0.146	0.084	0.6568473498629382
Plasma K 2	MYL12B	3.0222434585990607e-5	0.1226509518564044	0.336	0.254	0.6604810854422387
Plasma K 2	ATP5MC1	3.022602715337641e-5	-0.08465703272028069	0.354	0.454	0.660559597409888
Plasma K 2	LAPTM4A	3.077397363855157e-5	-0.08028038362210804	0.287	0.388	0.672534419896906
Plasma K 2	CLDN3	3.136751292134518e-5	0.1430161911954191	0.114	0.061	0.6855056273830776
Plasma K 2	RNF213	3.176325889417708e-5	0.16381763663485843	0.361	0.281	0.6941542598733459
Plasma K 2	SNHG8	3.186930987178284e-5	-0.12990843812103364	0.361	0.464	0.6964718979379422
Plasma K 2	ST6GAL1	3.224549678149241e-5	-0.09466693921397551	0.38	0.485	0.7046930866627351
Plasma K 2	UVRAG	3.537153663096758e-5	-0.07029557769183721	0.09	0.162	0.7730095615331655
Plasma K 2	ATP2A3	3.552821609385907e-5	0.11817483973873566	0.324	0.24	0.7764336345151961
Plasma K 2	STX11	3.560301931641759e-5	-0.1000873505494985	0.104	0.176	0.77806838414099
Plasma K 2	XBP1	3.564700700450637e-5	-0.08307581241880135	0.836	0.943	0.7790296910764822
Plasma K 2	A1BG	3.649693321628891e-5	-0.08303356640146015	0.312	0.414	0.7976039785087778
Plasma K 2	ADAM28	3.76994529502006e-5	-0.07109863810386916	0.085	0.154	0.8238838447736839
Plasma K 2	CCL3	3.864555596312476e-5	-0.5179444027591974	0.06	0.12	0.8445599800181285
Plasma K 2	FGFR1OP2	4.0450678357516536e-5	-0.08900473810154841	0.298	0.395	0.8840091248251664
Plasma K 2	CLEC2B	4.201361427209652e-5	-0.13880518858589003	0.167	0.253	0.9181655263023973
Plasma K 2	CTSH	4.286497398017848e-5	-0.05340163757698274	0.238	0.335	0.9367711413628205
Plasma K 2	CREBRF	4.3632221785045785e-5	-0.10057248802618018	0.259	0.353	0.9535385748903906
Plasma K 2	TNFAIP8	4.5055475457785246e-5	-0.07516111866652109	0.195	0.288	0.9846423606544388
Plasma K 2	CNPY3	4.725873210553788e-5	-0.07089671988006369	0.102	0.175	1
Plasma K 2	P4HA1	4.8282077048137235e-5	-0.06719529677687729	0.069	0.133	1
Plasma K 2	HBP1	4.900181627688503e-5	-0.08565123160747445	0.206	0.295	1
Plasma K 2	AL360012.1	5.136990568905882e-5	-0.11410806902245652	0.181	0.268	1
Plasma K 2	PMAIP1	5.271568370186466e-5	-0.19661630513218337	0.222	0.303	1
Plasma K 2	AC004687.1	5.2742843483284504e-5	-0.08527236549950279	0.155	0.237	1
Plasma K 2	SP140L	5.325308961450827e-5	-0.06753935521757358	0.107	0.181	1
Plasma K 2	APEX1	5.3927897399235896e-5	-0.06879527675310643	0.137	0.218	1
Plasma K 2	AL627171.1	5.401992517346832e-5	-0.08970103471663449	0.081	0.147	1
Plasma K 2	SLC25A4	5.45753057301591e-5	-0.07919552269475869	0.169	0.253	1
Plasma K 2	RCSD1	5.646607574480287e-5	-0.06970553450991049	0.1	0.172	1
Plasma K 2	AC026979.2	6.262977140300293e-5	0.0628548158383586	0.118	0.064	1
Plasma K 2	HIST1H2BG	6.847692691676008e-5	0.19633474210042662	0.366	0.281	1
Plasma K 2	SMAP2	6.927780776699687e-5	0.1129623311017306	0.519	0.436	1
Plasma K 2	SEC14L1	6.987682204132777e-5	-0.08729052965573997	0.246	0.337	1
Plasma K 2	RPL39L	7.080690171629488e-5	-0.06161734615082361	0.07	0.133	1
Plasma K 2	ADA2	7.203604558504083e-5	-0.07282536078646912	0.276	0.38	1
Plasma K 2	INSR	7.379644264566762e-5	-0.07783637299060417	0.206	0.298	1
Plasma K 2	ACTG1	7.494970151953718e-5	-0.10222532648658289	0.68	0.777	1
Plasma K 2	GADD45B	7.616402121409378e-5	-0.2821495246727517	0.449	0.516	1
Plasma K 2	PRDX1	7.735274769289917e-5	-0.08890403663414737	0.597	0.697	1
Plasma K 2	IFIH1	7.773603836555684e-5	-0.07977132431353853	0.083	0.147	1
Plasma K 2	MYCBP2	7.776213749543864e-5	-0.08115322004725267	0.37	0.477	1
Plasma K 2	HNRNPA1	8.640373554030376e-5	-0.07433261268705321	0.308	0.413	1
Plasma K 2	CCDC50	8.872804361219739e-5	-0.08586200038220876	0.269	0.365	1
Plasma K 2	CCDC167	9.032643240703748e-5	-0.07819221862678791	0.213	0.3	1
Plasma K 2	FAM107B	9.48407074902823e-5	-0.16283852435255963	0.377	0.462	1
Plasma K 2	KMT2A	9.50975042623789e-5	-0.0885294185310197	0.298	0.391	1
Plasma K 2	MVP	9.828065567514563e-5	0.06436253494539625	0.144	0.086	1
Plasma K 2	ICAM1	1.0152400041293503e-4	-0.09892489260106646	0.188	0.274	1
Plasma K 2	MTHFD2	1.018072550321736e-4	-0.08734588307670202	0.197	0.284	1
Plasma K 2	MLLT6	1.0336149516663453e-4	0.06241791756858055	0.141	0.084	1
Plasma K 2	BCL2L11	1.0349283354297141e-4	-0.1310632115140689	0.387	0.476	1
Plasma K 2	GRK6	1.050379699581443e-4	-0.0721732769969777	0.18	0.264	1
Plasma K 2	PTPN7	1.0571923216098783e-4	0.049004699700274185	0.111	0.06	1
Plasma K 2	S100A11	1.0909203710772601e-4	0.15992793503178687	0.363	0.291	1
Plasma K 2	SEMA4A	1.0911056486587207e-4	-0.07247774787738222	0.107	0.176	1
Plasma K 2	NXT1	1.1055270669939286e-4	-0.06123480896832666	0.088	0.155	1
Plasma K 2	C4orf33	1.2071477793255428e-4	-0.07622787870297854	0.062	0.119	1
Plasma K 2	LDHB	1.2161469097330885e-4	-0.09453215679273091	0.357	0.449	1
Plasma K 2	LMAN1	1.2503188509551598e-4	-0.09871140806294076	0.599	0.67	1
Plasma K 2	CCDC69	1.2573939850179939e-4	-0.08058121701065873	0.261	0.349	1
Plasma K 2	HSPA13	1.275347422200298e-4	-0.08370597487328912	0.283	0.373	1
Plasma K 2	RAP1B	1.2832725220860366e-4	-0.09523058807196888	0.165	0.242	1
Plasma K 2	COL9A3	1.310036433341119e-4	-0.07049663985872394	0.095	0.16	1
Plasma K 2	PDK1	1.373656236402815e-4	-0.061687780794753844	0.37	0.477	1
Plasma K 2	EPSTI1	1.3789530568455394e-4	-0.0660096023435289	0.111	0.181	1
Plasma K 2	HNRNPDL	1.397035787339003e-4	-0.08030725154744917	0.405	0.51	1
Plasma K 2	DEGS1	1.4063166669401437e-4	-0.07717617536490676	0.099	0.166	1
Plasma K 2	CYLD	1.4091464081027083e-4	-0.0635866013842614	0.104	0.173	1
Plasma K 2	C1QBP	1.410122635823284e-4	-0.06980917219266464	0.185	0.268	1
Plasma K 2	FXYD5	1.4138963241627016e-4	-0.07298658479952277	0.206	0.292	1
Plasma K 2	IGLC2	1.4438899125299005e-4	-1.9892290766192422	0.57	0.513	1
Plasma K 2	SUSD3	1.5549653438159784e-4	-0.05104028318916466	0.056	0.112	1
Plasma K 2	PIP4K2A	1.58541812440659e-4	0.07535749067242707	0.158	0.1	1
Plasma K 2	NSMCE1	1.5958419283626052e-4	-0.057651493130042974	0.063	0.12	1
Plasma K 2	HID1	1.6693885220650574e-4	-0.06087106045687099	0.076	0.136	1
Plasma K 2	DUSP4	1.6742957731266875e-4	0.1318018735667857	0.151	0.094	1
Plasma K 2	TMEM123	1.6995980178611964e-4	-0.08254193708005866	0.218	0.302	1
Plasma K 2	NFIL3	1.7638487225223948e-4	-0.05361108359303782	0.074	0.135	1
Plasma K 2	ARGLU1	1.8058159277602333e-4	0.12203134630786944	0.433	0.357	1
Plasma K 2	MAN1A1	1.810856040424504e-4	-0.0593006180126916	0.327	0.424	1
Plasma K 2	FO393401.1	1.9216718204030238e-4	-0.05251268389721187	0.051	0.103	1
Plasma K 2	LGALS1	1.931809343801155e-4	-0.10549591896204968	0.623	0.741	1
Plasma K 2	COPS3	2.1464563517580306e-4	-0.06320209771902112	0.114	0.182	1
Plasma K 2	BHLHE41	2.1993114360047426e-4	0.08026348002908645	0.298	0.219	1
Plasma K 2	TRANK1	2.3159834989111016e-4	-0.0539420901480427	0.097	0.162	1
Plasma K 2	MT1X	2.3191434001671802e-4	0.06821049675501609	0.127	0.075	1
Plasma K 2	CYSLTR1	2.323028218244693e-4	-0.05414454058138651	0.079	0.14	1
Plasma K 2	ASAH1	2.4020631048990717e-4	-0.05591364954910612	0.09	0.152	1
Plasma K 2	ALDH1L2	2.439476521341038e-4	-0.05677305863892636	0.07	0.128	1
Plasma K 2	SELPLG	2.5232485354838275e-4	0.056527783536279616	0.134	0.081	1
Plasma K 2	CDKN1C	2.559622116408948e-4	-0.07714674022523499	0.081	0.141	1
Plasma K 2	HSPA8	2.6025788770663147e-4	-0.13499066737352927	0.618	0.701	1
Plasma K 2	PBXIP1	2.6225300810496044e-4	0.09993125334999273	0.19	0.128	1
Plasma K 2	POMP	2.7003002670784583e-4	-0.07044371873981403	0.345	0.434	1
Plasma K 2	F2R	2.856973010525916e-4	-0.052697284396794004	0.056	0.109	1
Plasma K 2	CCL4	2.867373290406749e-4	-0.0800459145336514	0.181	0.116	1
Plasma K 2	MAFF	3.001618487367161e-4	-0.08055314254351209	0.13	0.198	1
Plasma K 2	ACP5	3.1715052707738395e-4	-0.05133468354167897	0.07	0.127	1
Plasma K 2	ATOX1	3.386035657974682e-4	-0.09093563133630739	0.359	0.439	1
Plasma K 2	SAP18	3.642911163811479e-4	-0.046197819543566054	0.423	0.531	1
Plasma K 2	VEGFA	3.773965709730929e-4	0.09530545503400784	0.173	0.113	1
Plasma K 2	CDK2AP2	3.776397398301956e-4	-0.0986621490978909	0.342	0.422	1
Plasma K 2	CCNI	3.9118009164465777e-4	-0.11452615774110653	0.586	0.654	1
Plasma K 2	KRT18	3.9501708247642234e-4	0.2558746395315691	0.157	0.105	1
Plasma K 2	SET	3.991978832498168e-4	-0.06581829223662133	0.335	0.433	1
Plasma K 2	STRBP	3.994454650523142e-4	-0.06386269322268358	0.116	0.181	1
Plasma K 2	KDM4B	4.1242909927936215e-4	-0.04796419957495629	0.067	0.121	1
Plasma K 2	YBX1	4.147268883069091e-4	-0.055482345659253696	0.641	0.752	1
Plasma K 2	DUT	4.306521193746052e-4	-0.05900193222791453	0.151	0.223	1
Plasma K 2	PRCP	4.3290905458417625e-4	-0.06017595013496199	0.107	0.17	1
Plasma K 2	TCEA1	4.4730816218884357e-4	-0.07586375929476252	0.236	0.317	1
Plasma K 2	DNAJB1	4.5057333750581947e-4	-0.48949634516887475	0.636	0.65	1
